Unique,Site,MaxDiameter,FlareLength,RimThick,ThickBelowFlare,FlareAngle,MaxIncising,MaxTrailing
200,Walsh,32,54.4,6,NA,NA,1.3,NA
201,Walsh,NA,NA,7,NA,NA,1,NA
202,Walsh,NA,NA,7.1,NA,NA,1,NA
203,Walsh,26,47.3,8.2,NA,NA,0.9,NA
205,Walsh,31,63,7.2,NA,NA,NA,NA
206,Walsh,NA,NA,6,NA,NA,1.2,NA
207,Walsh,NA,28.7,5.1,NA,NA,NA,NA
208,Walsh,NA,NA,6.4,NA,NA,NA,NA
209,Walsh,NA,NA,8.1,NA,NA,1.4,NA
210,Walsh,NA,NA,7.8,NA,NA,1.1,NA
211,Walsh,29,NA,9,NA,NA,1.4,NA
212,Walsh,NA,NA,5.1,NA,NA,1,NA
213,Walsh,34,NA,6.8,NA,NA,1.2,NA
214,Walsh,NA,67.7,8.3,NA,NA,1.8,NA
215,Walsh,NA,NA,6.3,NA,NA,0.8,NA
216,Walsh,NA,54.8,7.8,NA,NA,NA,NA
217,Walsh,NA,NA,6.2,NA,NA,1.4,NA
218,Walsh,28,NA,6.6,NA,NA,1.3,NA
219,Walsh,NA,32.2,5,NA,NA,1,NA
220,Walsh,NA,NA,6.1,NA,NA,1.5,NA
241,Lawrenz Gun Club,31,NA,5.9,NA,NA,1.3,NA
275,Emmons,33,39.3,8.2,6.7,153,NA,NA
276,Emmons,27,33,6.8,7.8,NA,NA,NA
277,Emmons,NA,32.6,7.1,5.1,NA,3,NA
278,Emmons,38,62.9,7.3,5.9,157,1.7,NA
279,Emmons,NA,54.4,7.1,7.5,NA,1.4,NA
280,Emmons,28,40.2,7,7,144,NA,NA
281,Emmons,NA,NA,8.5,NA,NA,1,NA
282,Emmons,24,19.5,5,5.6,NA,NA,NA
283,Emmons,NA,NA,7.3,NA,NA,0.8,NA
284,Emmons,NA,NA,NA,5.6,NA,1.3,NA
285,Emmons,32,58.2,7.9,4.2,146,1.4,NA
286,Emmons,NA,NA,6,NA,NA,1,NA
287,Emmons,26,38.1,5.8,7.1,159,NA,NA
288,Emmons,31,29.4,5.1,5,NA,NA,NA
289,Emmons,32,NA,5.8,NA,NA,1.3,NA
290,Emmons,NA,25.7,5.9,8.6,NA,NA,NA
291,Emmons,NA,32.1,6,8.5,NA,1.2,NA
292,Emmons,NA,NA,NA,NA,NA,1.9,NA
293,Emmons,NA,33.8,6,5.4,NA,NA,NA
294,Emmons,NA,NA,NA,6.5,NA,1.4,NA
298,Baehr South,NA,NA,7.3,NA,NA,1.7,NA
299,Baehr South,28,NA,6.9,NA,NA,1.3,NA
300,Baehr South,NA,NA,11,NA,NA,1.2,NA
301,Baehr South,29,NA,6.9,NA,NA,0.7,NA
302,Baehr South,NA,NA,7.5,NA,NA,1,NA
303,Baehr South,26,NA,5,NA,NA,0.6,NA
304,Baehr South,27,NA,7.1,NA,NA,0.8,NA
305,Baehr South,19,NA,6.4,NA,NA,1.3,NA
306,Baehr South,29,NA,7,NA,NA,1.1,NA
310,Baehr South,32,NA,6.7,NA,NA,1.4,NA
311,Baehr South,19,NA,5.3,NA,NA,1.3,NA
331,Myer-Dickson,32,60,6.5,4.6,NA,1,NA
332,Myer-Dickson,34,63.7,6.8,4,NA,0.5,NA
333,Myer-Dickson,NA,NA,NA,8.3,NA,NA,NA
334,Myer-Dickson,NA,NA,NA,6.25,NA,0.7,NA
335,Myer-Dickson,28,67,8,7.5,NA,1.1,NA
